Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      116     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::operator[](unsigned long)
  0.00      0.00     0.00      116     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.00     0.00       48     0.00     0.00  HCNode** std::__niter_base<HCNode**>(HCNode**)
  0.00      0.00     0.00       24     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       18     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       17     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       17     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_max_size(std::allocator<HCNode*> const&)
  0.00      0.00     0.00       16     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::max_size() const
  0.00      0.00     0.00       16     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_relocate(HCNode**, HCNode**, HCNode**, std::allocator<HCNode*>&)
  0.00      0.00     0.00       16     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_do_relocate(HCNode**, HCNode**, HCNode**, std::allocator<HCNode*>&, std::integral_constant<bool, true>)
  0.00      0.00     0.00       16     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_use_relocate()
  0.00      0.00     0.00       16     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.00     0.00       16     0.00     0.00  HCNode** std::__relocate_a<HCNode**, HCNode**, std::allocator<HCNode*> >(HCNode**, HCNode**, HCNode**, std::allocator<HCNode*>&)
  0.00      0.00     0.00       16     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<HCNode*, void>::value, HCNode**>::type std::__relocate_a_1<HCNode*, HCNode*>(HCNode**, HCNode**, HCNode**, std::allocator<HCNode*>&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_deallocate(HCNode**, unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  std::__new_allocator<HCNode*>::deallocate(HCNode**, unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  std::__new_allocator<HCNode*>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        8     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00        8     0.00     0.00  void std::vector<HCNode*, std::allocator<HCNode*> >::_M_realloc_insert<HCNode* const&>(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNode* const&)
  0.00      0.00     0.00        8     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
